Date,Likes,Retweets,Replies,Quotes,Engagement,Has_Media,Text,URL
"2025-11-18",8,0,0,0,8,true,"I’m always cooking🧑‍🍳 
relentless, no matter what https://t.co/wxftipAKOB","https://x.com/muse_jp_sol/status/1990754623527976969"
"2025-11-19",5,0,0,0,5,false,"Cooooool https://t.co/tUvpMBF6l9","https://x.com/muse_jp_sol/status/1990963084387864645"
"2025-11-19",26,0,12,0,38,true,"Gm from Tokyo 🇯🇵 https://t.co/37iuwCpgcg","https://x.com/muse_jp_sol/status/1990977361651904569"
"2025-11-19",6,0,0,0,6,false,"Monkeeeeeeeeeey!!!!!! https://t.co/iO56Oac4Zj","https://x.com/muse_jp_sol/status/1991159949397754051"
"2025-11-20",3,0,3,0,6,true,"Gm
Today marks the day I onboarded my mom to Solana and shot her 5 USDC.
Big moment lol. https://t.co/HQTv95pRou","https://x.com/muse_jp_sol/status/1991360115308654688"
"2025-11-20",24,8,6,4,38,true,"20歳のただの起業家。お財布はもうすでに空っぽ。

でも、僕���のプロジェクト @Axis__Solana  が、アブダビでのDemo Dayショートリストに残りました！

起業家としてこの機会は逃したくありません！！ https://t.co/NyWvvRAsRv","https://x.com/muse_jp_sol/status/1991496071512838592"
"2025-11-20",5,1,1,0,7,true,"@Axis__Solana 参加方法はSolanaのUSDCでNFTを購入するだけです！

🎖 TIERS
• BRONZE ($10)：支援証明バッジ＋限定グループ招待

• SILVER ($50)：現地レポート＋学習パス

• GOLD ($150)：""Abu Dhabi Playbook""＋Museによる限定演奏🎹🎸🎺

• PLATINUM ($250)：Museとの1on1＋非公開グループセッション https://t.co/evxjogJX7j","https://x.com/muse_jp_sol/status/1991496901523566943"
"2025-11-20",3,1,1,0,5,false,"@Axis__Solana ✅ 完全返金保証キャンペーン終了時にミニマム目標（$1,000）未達の場合、全額を返金します。

このプロジェクトが成功すれば、僕が得た現地のリアルな知見やコネクションは、レポートやセッションを通じて全てコミュニティに還元します！

(3/4)","https://x.com/muse_jp_sol/status/1991497070872785170"
"2025-11-20",4,0,0,0,4,false,"@Axis__Solana 僕がアブダビで爪痕を残し、この実験を成功させる。 
そうすれば、それは次の日本の若手Founderが使える世界へのパスポートになります。

日本から世界へを、特別なことじゃなく、普通のことへ。

あなたのWalletに刻まれるNFTが、その変革の証です！
よろしくお願いします！！#letsgomuse","https://x.com/muse_jp_sol/status/1991497413136417092"
"2025-11-20",25,6,4,6,35,true,"20 y/o founder. Wallet empty. Ambition full.

@Axis__Solana just got SHORTLISTED for the Abu Dhabi Demo Day. 🇦🇪

I’m not letting this chance slip. 
I’m launching an NFT crowdfund to prove that the community can send a founder global!!!

Let’s make history. 🚀 

Mint here: https://t.co/2yGO4foUHK","https://x.com/muse_jp_sol/status/1991498943197507721"
"2025-11-20",4,0,1,0,5,true,"@Axis__Solana 💎 THE TIERS (USDC on Solana)

🥉 $10 BRONZE: Supporter Badge + Group 

🥈 $50 SILVER: Field Report + Learning Pass 

🥇 $150 GOLD: The ""Global Playbook"" + Music 

💎 $250 PLATINUM: 1:1 Session + Private Circle

Join the movement starting at just $10.
(2/4) https://t.co/LNkfajS2Yh","https://x.com/muse_jp_sol/status/1991499267954065717"
"2025-11-20",4,0,1,0,5,false,"@Axis__Solana 🛡️ ZERO RISK

Miss the $1,000 goal? 100% REFUND.

I take the risk. You take the ride.

If we win, I bring back ALL the alpha, connections, and the blueprint for the community!!!!

(3/4)","https://x.com/muse_jp_sol/status/1991499459315003778"
"2025-11-20",5,0,0,0,5,false,"@Axis__Solana I’m going there to leave a mark. 

Let's normalize ""Japan to the World.""

Don't just watch. 
Be the one who backed it early. 
History is minted on-chain.

https://t.co/GCTirRa0Q8
☝️

LFG. 🔥 #letsgomuse 

(4/4))","https://x.com/muse_jp_sol/status/1991499829093224912"
"2025-11-20",1,0,0,0,1,false,"Someone just bought my bronze! Thank you so much!!! https://t.co/rf47R1xISn","https://x.com/muse_jp_sol/status/1991511585010155844"
"2025-11-20",8,0,1,0,9,true,"By the way, here’s what the music performance, which is included as a Gold-tier benefit, looks like! https://t.co/xexudUFFCe https://t.co/rf47R1xISn","https://x.com/muse_jp_sol/status/1991516973940031591"
"2025-11-21",7,1,0,0,8,false,"周りの同年代の割り勘といえばPayPayなところあるのでそこからCryptoを購入できると思うとありがたい…！
手数料も安く嬉しいです‼️ https://t.co/O3nxgAf5pU","https://x.com/muse_jp_sol/status/1991688965729185835"
"2025-11-21",1,0,0,0,1,false,"@Axis__Solana NFTいらないから行ってこい！と応援してくださる方は以下のWalletAddressにぶん投げてください！！
どんなトークンでも構いません！(SolanaChainのみ)

CHkz38ZNRYBPZz6b1bNhhsqD3Cf3Wnu3za7BoSgcSmeZ","https://x.com/muse_jp_sol/status/1991705344494731671"
"2025-11-21",1,1,0,0,2,false,"とにかくなんでもいいから投げたい！という方は以下のSolana Addressにぶん投げてください！！！！！！！！

CHkz38ZNRYBPZz6b1bNhhsqD3Cf3Wnu3za7BoSgcSmeZ https://t.co/Q0VIC4ycqz","https://x.com/muse_jp_sol/status/1991705792572191146"
"2025-11-21",3,0,0,0,3,false,"sneak👀
Coming Soon...
Everyone, write a 🌟 in the comments! https://t.co/JBiaNHDHiT","https://x.com/muse_jp_sol/status/1991776249128292527"
"2025-11-21",4,0,0,0,4,false,"⚠️ Seeing a Phantom warning?
This is a false positive due to the new domain. 
The site is 100% safe. 
Please click ""Proceed anyway"" (or ""Ignore"") at the bottom to continue minting!🙇 https://t.co/rf47R1xISn","https://x.com/muse_jp_sol/status/1991776940496416987"
"2025-11-21",5,1,0,0,6,false,"⚠️ Phantomで警告が出る問題について
新規ドメインによる誤検知であり、サイトは安全ですのでご安心ください！
解除申請中ですが、現在は下部の 「Proceed anyway (とにかく進む)」 を押して続行をお願いします！ https://t.co/dy0hiECSbB","https://x.com/muse_jp_sol/status/1991777071329341801"
"2025-11-21",3,0,0,0,3,true,"👀 https://t.co/tzZEyHSSav","https://x.com/muse_jp_sol/status/1991834896558616781"
"2025-11-21",5,0,0,0,5,false,"It was a crazy day creating the NFT art, building the landing page and purchase flow, and testing everything on Devnet. 
No way I could’ve done it without @metaplex. @solana really is the best ecosystem. https://t.co/rf47R1xISn","https://x.com/muse_jp_sol/status/1991842364680548803"
"2025-11-21",2,0,0,0,2,true,"🙄 https://t.co/APMzj0aEqt","https://x.com/muse_jp_sol/status/1991845028453589208"
"2025-11-21",4,0,0,0,4,false,"Congrats bro!!!! https://t.co/07W5TItP91","https://x.com/muse_jp_sol/status/1991867224987156800"
"2025-11-21",2,0,1,0,3,false,"OMG!!!!!
No way thanks so mush…..!!!!!

I have to play some music!!!!!!

ありがとうございます！！！ https://t.co/FTJrcbGCq4","https://x.com/muse_jp_sol/status/1991924793466335459"
"2025-11-22",9,0,1,0,10,false,"Thanks!!!!!!! Ryot is my old brother… https://t.co/bPFLa76ssb","https://x.com/muse_jp_sol/status/1992089923479019750"
"2025-11-22",2,0,1,0,3,false,"ありがとうございます……プラチナまで…😭
Camaoさんにはたくさんお世話になっています！
前回のコミュニティコールでも100ドルをウォレットに投げてくださいました…（ ;  ; ）
頑張ります！ https://t.co/seWhVMaKR6","https://x.com/muse_jp_sol/status/1992128443581153338"
"2025-11-22",2,0,0,0,2,false,"嬉しすぎます…（ ;  ; ）
頑張ります！！！！！！！ドンッ！！！！ https://t.co/TuF8jNc51r","https://x.com/muse_jp_sol/status/1992137524974874721"
"2025-11-22",5,1,1,0,7,true,".@toly 
Same Vive https://t.co/wol2cQ7TTV","https://x.com/muse_jp_sol/status/1992220124989071512"
"2025-11-22",4,1,0,0,5,false,"We owe you an apology.

We made “Buy the Market on Solana” way too easy.🐢 https://t.co/flKPEwQJLP","https://x.com/muse_jp_sol/status/1992231706498392445"
"2025-11-23",2,0,0,0,2,false,"MON TIME 🔥🔥🔥🔥🔥🔥 https://t.co/LK1kA1tOQa","https://x.com/muse_jp_sol/status/1992635175394812136"
"2025-11-24",4,0,0,0,4,false,"TOKYO👀👀👀👀 https://t.co/GmvBXcvPlS","https://x.com/muse_jp_sol/status/1992777539987857765"
"2025-11-24",2,0,1,0,3,false,"Well,well,well….. https://t.co/gmrPtrKIge","https://x.com/muse_jp_sol/status/1992788421711151136"
"2025-11-24",8,1,1,0,10,true,"Gm
Anyway, I like the Japanese sky the most https://t.co/RO5etRQpP1","https://x.com/muse_jp_sol/status/1992796767994380777"
"2025-11-24",4,2,0,0,6,false,"直接送金分も含め、現在$948もの熱い応援を頂きました。本当にありがとうございます！！ 
しかし渡航必須ラインの$2,500まであと$1,552足りず、このままではアブダビに行けません、、、😭

日本の若手が世界へ挑む最初の一歩、どうか力を貸してください！
👇 https://t.co/GCTirRa0Q8 https://t.co/dy0hiECSbB","https://x.com/muse_jp_sol/status/1992848203612623024"
"2025-11-24",1,1,0,0,2,false,"With direct support, we've raised $948! 
Thank you so much! 
However, I am still $1,552 short of the $2,500 needed to make it to Abu Dhabi. 
I cannot let this chance slip away. 
Please help us bridge the gap!👇
https://t.co/GCTirRa0Q8 https://t.co/rf47R1xISn","https://x.com/muse_jp_sol/status/1992848374832492886"
"2025-11-25",0,0,0,0,0,true,"Gm https://t.co/sADtYEhxej","https://x.com/muse_jp_sol/status/1993133126235963879"
"2025-11-25",5,0,1,0,6,true,"I luv debt finance 
LFG @gmryot @xitadel_fi https://t.co/FI1Uu5uykl https://t.co/PGkCVHqqaQ","https://x.com/muse_jp_sol/status/1993144147445006713"
"2025-11-25",0,0,0,0,0,true,"🚀🌟 https://t.co/atgkeiT2LT","https://x.com/muse_jp_sol/status/1993146539976671566"
"2025-11-25",6,0,0,0,6,true,"Been feeling stuck recently, 
but I set this as my wallpaper and push through every single day. 

I refuse to slow down.

BELIEVE I CAN🔥🐃 https://t.co/TXs3aEPxM2","https://x.com/muse_jp_sol/status/1993299950114058379"
"2025-11-25",8,3,0,1,11,true,"Created Founder card!!!!
@ansel_sol @depitchsofian @legendsdotfun 
Thanks bro!!!!!! https://t.co/yrPmoxsJ7w","https://x.com/muse_jp_sol/status/1993337396143014289"
"2025-11-26",1,0,1,0,2,true,"Gm 
There is nothing better than a morning walk.☀️ https://t.co/aLgp6GVyA4","https://x.com/muse_jp_sol/status/1993503521627685337"
"2025-11-26",3,0,0,0,3,false,"Also, Axis &lt;&gt; sns.sol
:) https://t.co/IJJQ6BiF0i","https://x.com/muse_jp_sol/status/1993570020501368930"
"2025-11-26",1,0,1,0,2,false,"Lmao https://t.co/pMFs1I2alS","https://x.com/muse_jp_sol/status/1993677082061398323"
"2025-11-26",0,0,0,0,0,false,"早起きしましょ‼️💥💥💥 https://t.co/VchmGcFriG","https://x.com/muse_jp_sol/status/1993687825011630386"
"2025-11-26",2,0,1,0,3,false,"LFG🔥🔥🔥🔥 https://t.co/j7SLursgWk","https://x.com/muse_jp_sol/status/1993703655300809207"
"2025-11-26",0,0,0,0,0,false,"これ当たりすぎてる https://t.co/yWipwTPieu","https://x.com/muse_jp_sol/status/1993721661666066526"
"2025-11-27",0,0,0,0,0,false,"Launch economies on Solana

WITH JITO!!!!💥💥 https://t.co/sAUxdlpczT","https://x.com/muse_jp_sol/status/1993880864124727379"
"2025-11-27",0,0,0,0,0,false,"LFG bro
 https://t.co/dlOe5XGKmx","https://x.com/muse_jp_sol/status/1993900950223028718"
"2025-11-27",21,4,1,0,26,true,"ドバイで開催される Solana Economic Zone (SEZ) Demo Day の参加者として正式に選出されました！！！🇦🇪

応募総数750チーム以上。 
その中から世��Top 20チーム（上位2.6%）として、@Axis__Solana がステージに立ちます！！！！

20歳、日本代表。 https://t.co/N3saotL5Uo","https://x.com/muse_jp_sol/status/1994008569650532379"
"2025-11-27",5,1,1,0,7,true,"もしドバイに送り出していただけるなら、約束します。 ただの思い出作りでは終わらせません！

必ず、機関投資家や現地のクジラを唸らせ、Axisを次のステージに押し上げて帰ってきます。

このNFTは、将来「あいつが世界に行く背中を最初に押したのは俺だ」という証明になります！！

(3/4) https://t.co/LhKzprVX7Q","https://x.com/muse_jp_sol/status/1994008575195439560"
"2025-11-27",4,1,1,0,6,false,"それは渡航費がないことです。

開発と検証に全財産と時間を突っ込みました。
 僕の財布は空っぽです。 でも、野心だけは満タンです。

このチャンスを「金がない」という理由だけで見送るわけにはいかない。 
そこで、再度皆様にお願いさせてください！

(2/4)","https://x.com/muse_jp_sol/status/1994008572221428063"
"2025-11-27",5,1,1,0,7,true,"どうか、僕をドバイへ行かせてください! 
皆さんの力を貸してください!!!

🔥 Mintはこちらから (USDC):
https://t.co/ImUfYtYuQk

Let's make history together. 🚀 @Axis__Solana 

(4/4) https://t.co/0cIco5JhoW","https://x.com/muse_jp_sol/status/1994008578177532053"
"2025-11-27",23,5,2,3,30,true,"IT’S OFFICIAL. 🇦🇪
@Axis__Solana  has been selected for the SEZ Dubai Demo Day.

Out of 750+ teams, we made the Top 20 (Top 2.6%)

I’m 20 years old. I’m representing Japan. 🇯🇵 
I’m ready to show the world the first onChain Index on Solana.

But I have one fatal problem. 

(1/4) https://t.co/zHJHr6QNY0","https://x.com/muse_jp_sol/status/1994009630054531115"
"2025-11-27",1,0,1,1,2,true,"If you send me to Dubai, I promise you this: 
I’m not going there to sightsee. I’m going there to WIN.

I will pitch to the biggest funds and whales, and prove that the Solana community can send a young founder global.

This NFT is your proof that you backed me when I had nothing https://t.co/1T6zoI9Mj3","https://x.com/muse_jp_sol/status/1994009636605972532"
"2025-11-27",0,0,1,0,1,false,"I poured every dollar I had into development and validation.

I have the ticket to the world stage, but I can't afford the flight.

I refuse to let a $0 bank account stop a $10B vision.

I’m asking the community to bridge the gap. 

(2/4)","https://x.com/muse_jp_sol/status/1994009633607090616"
"2025-11-27",3,0,0,0,3,true,"Help me get to the starting line. I'll handle the rest.

MINT HERE (USDC): https://t.co/GCTirRa0Q8

Send me to Dubai. ✈️🚀 @Axis__Solana

(4/4) https://t.co/g5dRr3HOlG","https://x.com/muse_jp_sol/status/1994009640271753557"
"2025-11-27",1,0,0,0,1,false,"Dude this hit so hard lmao, I even showed it to my mom.💥 https://t.co/X4IgNcjIqL","https://x.com/muse_jp_sol/status/1994053929613611245"
"2025-11-27",13,0,2,0,15,true,"My card is 仁 !!!!!!
LFGooooooooo!!! https://t.co/EA4XTxTSRF https://t.co/mHDSd2mt3S","https://x.com/muse_jp_sol/status/1994064342485188723"
"2025-11-28",1,0,0,0,1,false,"🔥🔥🔥 https://t.co/cgugsAv1yo","https://x.com/muse_jp_sol/status/1994237482473275897"
"2025-11-28",11,0,4,0,15,true,"Gn from TOKYO https://t.co/DqH7ie8j0F","https://x.com/muse_jp_sol/status/1994313618490294511"
"2025-11-28",4,0,0,0,4,false,"Wow!!!! 🐒🍌 https://t.co/ly19CKF5qn","https://x.com/muse_jp_sol/status/1994405965178044657"
"2025-11-28",4,0,1,0,5,true,"The @Axis__Solana stickers just arrived!!
If you want one, let me know!
I’m planning to hand them out in Abu Dhabi https://t.co/OWyCiCvJIr","https://x.com/muse_jp_sol/status/1994416701711278322"
"2025-11-29",6,1,2,0,9,true,"Here’s me and my bro (@katoko_takoyaki ) chatting about the @Axis__Solana  × @incubator  submission video.

Man, look at my damn face I’m literally a clown out here.

He said he’s used to it by now, as always lol. https://t.co/rdPVA85lp8","https://x.com/muse_jp_sol/status/1994722954438119474"
"2025-11-29",14,0,1,0,15,true,"Thanks to your incredible support, I’ve officially secured my flight to Dubai! ✈️
I take off on Dec 4th from Japan.
This isn't just a ticket; it's a pass fueled by your trust.

I’m ready to make a mark in Abu Dhabi and represent our community.

Let's go!!🔥 https://t.co/z6uEnr9Vn4","https://x.com/muse_jp_sol/status/1994743154583462137"
"2025-11-30",1,0,0,0,1,false,"LFG🔥 https://t.co/jrcoPKUyAw","https://x.com/muse_jp_sol/status/1995016244828016985"
"2025-11-30",2,0,0,0,2,true,"Gm everyone 🚬
I luv vape. https://t.co/BwOvto4ZmL","https://x.com/muse_jp_sol/status/1995025050618200487"
"2025-12-01",3,0,0,0,3,false,"I ALWAYS FOUNDER MODE https://t.co/tJdaHqb1Dw","https://x.com/muse_jp_sol/status/1995380046257951185"
"2025-12-01",3,1,1,0,5,false,"I'm happy to be able to pitch on site on 12/4! Everyone, let's meet there! 
We will distribute Axis stickers! https://t.co/Gz8zpjU4wL","https://x.com/muse_jp_sol/status/1995385031838376238"
"2025-12-01",0,0,0,0,0,false,"TRY IT!!!!!!!!!!🔥

This is WHY WE WIN. https://t.co/6ZwKOwNZeM","https://x.com/muse_jp_sol/status/1995439551595393410"
"2025-12-01",4,0,1,0,5,false,"Perfect.
Exactly, I think the founder needs to be an artist. https://t.co/UNq3vvqDU7","https://x.com/muse_jp_sol/status/1995440868489371964"
"2025-12-01",9,4,0,0,13,false,"Check this awesome new product on @legendsdotfun 
https://t.co/cfFYZXTY4L","https://x.com/muse_jp_sol/status/1995482529210769847"
"2025-12-01",2,0,1,0,3,true,"Hanging out with the 1% on @SuperteamEarn https://t.co/2JYI7lAiUG https://t.co/FyIGgvdeTE","https://x.com/muse_jp_sol/status/1995495596032241874"
"2025-12-02",7,0,2,0,9,true,"Gm happy Dec.

Wild that I’m dipping comfy cold Japan for hot-ass Dubai… ain’t never had a sweaty December before lol 😂 https://t.co/GEYzlAwAN6","https://x.com/muse_jp_sol/status/1995691062162325565"
"2025-12-02",4,0,0,0,4,false,"GoGoGoGo!!!! https://t.co/Z4hyw1jVjV","https://x.com/muse_jp_sol/status/1995804930842784167"
"2025-12-03",3,0,0,0,3,false,"No way 😂 https://t.co/kZms9w9ECM","https://x.com/muse_jp_sol/status/1996180468040187940"
"2025-12-03",23,1,5,0,29,true,"I'm going to bed early to prepare for tomorrow's flight...!
See u there everyone https://t.co/amk4klueT2","https://x.com/muse_jp_sol/status/1996195473871499772"
"2025-12-03",3,0,1,0,4,true,"👀 https://t.co/wMdS4kysbm","https://x.com/muse_jp_sol/status/1996344799897788688"
"2025-12-03",18,0,4,0,22,true,"Gm from Tokyo https://t.co/XiKqv18ois","https://x.com/muse_jp_sol/status/1996344884014579815"
"2025-12-03",3,0,0,0,3,true,"I found my favorite aespa documentary in the in-flight content https://t.co/wayM71EJsB","https://x.com/muse_jp_sol/status/1996368293033316761"
"2025-12-04",6,0,0,1,6,true,"28min transit in Korea https://t.co/aZNKyZi39I","https://x.com/muse_jp_sol/status/1996422817693450651"
"2025-12-04",1,0,0,0,1,false,"This is true FOUNDER MODE https://t.co/8u3MkS6nuf","https://x.com/muse_jp_sol/status/1996425023528292476"
"2025-12-04",9,0,0,0,9,false,"参加したい！！！ https://t.co/b98WDOY9vP","https://x.com/muse_jp_sol/status/1996532390127374653"
"2025-12-04",26,1,4,0,31,true,"Gn from Dubai 🇦🇪🤝🇯🇵 https://t.co/ILA6t27cIj","https://x.com/muse_jp_sol/status/1996623463717786076"
"2025-12-05",5,3,0,0,8,false,"My dear brother put together the participant list for today’s SEZ Demo Day! @depitchsofian @legendsdotfun @ansel_sol @SuperteamAE 
Muse and Axis please make sure to check it!!
https://t.co/rXTHNMy8yH","https://x.com/muse_jp_sol/status/1996805567789388170"
"2025-12-05",10,1,0,0,11,false,"Pitch as Axis. 
It's a 20 founder challenge from Japan! https://t.co/DsyFIvGNFR","https://x.com/muse_jp_sol/status/1996811726399197581"
"2025-12-05",8,1,3,0,12,true,"Gm BEST SEZ
I luv Dubai vibes… https://t.co/3mZ2sbsYgl","https://x.com/muse_jp_sol/status/1996811885539438771"
"2025-12-05",9,1,0,0,10,false,"Let's Catch up Everyone :) https://t.co/ARylTJ0khj","https://x.com/muse_jp_sol/status/1996883703579226181"
"2025-12-05",19,0,3,0,22,true,"THIS IS DUBAI VIBES 🇦🇪🤴 https://t.co/KY6qir0azi","https://x.com/muse_jp_sol/status/1996903656512458935"
"2025-12-05",8,0,1,0,9,true,"LFG @Axis__Solana https://t.co/FFy1n3eToS","https://x.com/muse_jp_sol/status/1996912801332580552"
"2025-12-05",8,2,1,0,11,false,"Let’s goooo! https://t.co/r0wc5ftXIl","https://x.com/muse_jp_sol/status/1996928333582684513"
"2025-12-05",8,0,2,0,10,false,"Huge opportunity https://t.co/gLEjDPje6T","https://x.com/muse_jp_sol/status/1996987985942757548"
"2025-12-05",13,1,3,1,17,true,"See u there https://t.co/pZU2s3kzpx https://t.co/YWg02uZG9l","https://x.com/muse_jp_sol/status/1997010710191386810"
"2025-12-05",8,0,0,0,8,false,"I am honored to have such an opportunity. 
Thank you! @SuperteamAE  
We will continue to build from now on!
Bullish!! https://t.co/g0Mqgtl7aR","https://x.com/muse_jp_sol/status/1997020844070261080"
"2025-12-05",3,0,0,0,3,false,"It’s coooool https://t.co/S7q9qkJNT5","https://x.com/muse_jp_sol/status/1997024190109831419"
"2025-12-06",6,0,0,0,6,true,"Gm 
coffee,cigarette and banana
This is my morning setup 

Let’s cook https://t.co/H46ZUCKd32","https://x.com/muse_jp_sol/status/1997142071682244655"
"2025-12-06",12,0,1,0,13,true,"This is the face of a Japanese person who’s bad at English, desperately trying to understand it.... https://t.co/pUFAolDG1E","https://x.com/muse_jp_sol/status/1997190669434277911"
"2025-12-06",6,1,1,0,8,true,"Wtf https://t.co/9pinVIOboe","https://x.com/muse_jp_sol/status/1997198790043001137"
"2025-12-06",21,1,5,0,27,true,"It is the figure of a man who will become rich in the future full of ambition https://t.co/GbOeThXslC","https://x.com/muse_jp_sol/status/1997216329880027267"
"2025-12-06",40,5,1,3,46,true,"Hey Superteam fam! 🇦🇪🇯🇵 Muse here from Axis.

After the Demo Day, we are pumped to announce our collaboration with Jito Foundation to verify our index assets via NCN. 🤝 
We are looking to fill our final strategic allocation ($100k left) before I fly back to Japan on the 14th. https://t.co/cA7JTepKMQ","https://x.com/muse_jp_sol/status/1997242765248467222"
"2025-12-06",6,1,0,0,7,false,"FOMO https://t.co/5sILUWr0Pm","https://x.com/muse_jp_sol/status/1997246290200314234"
"2025-12-06",11,0,1,0,12,true,"Hey mom!!!!

My dream as a smoker has come true!!🚬 https://t.co/XboS9c7YTK","https://x.com/muse_jp_sol/status/1997325146919747778"
"2025-12-06",12,1,0,0,13,true,"FOUNDER VIBES https://t.co/XlFQl3GfY3","https://x.com/muse_jp_sol/status/1997350850394480962"
"2025-12-07",8,0,2,0,10,true,"Gm 🍌🍌☕️🚬 https://t.co/lcTNgLJrKH","https://x.com/muse_jp_sol/status/1997514316812279909"
"2025-12-07",8,0,4,0,12,true,"Champions don’t cry in the arena.

Do or Die. Bullish🔥 https://t.co/anFJ5SOXsm","https://x.com/muse_jp_sol/status/1997612182465593631"
"2025-12-07",16,0,1,0,17,true,"What an absolutely perfect view.
@magicblock https://t.co/9Rjy7jjc9n","https://x.com/muse_jp_sol/status/1997650255077147051"
"2025-12-07",70,6,13,0,89,true,"Blow $13k (2M JPY) and my life savings to fly overseas for zero results? 
Market is dead and VCs are hibernating? 
Dropout, jobless, and completely rekt? 
Bank account balance sitting at literally $2?

Shut the f*ck up. 
Just. Keep. Building.

Everything above is my reality. https://t.co/4YPu6SN5IB","https://x.com/muse_jp_sol/status/1997721366754422839"
"2025-12-08",3,0,0,0,3,false,"Gooooooo! https://t.co/Ge4BHwTiv0","https://x.com/muse_jp_sol/status/1997872382611251508"
"2025-12-08",0,0,0,0,0,false,"Pls dm me!!!
Tg: muse_jp
Email: yusukekikuta.05@gmail.com","https://x.com/muse_jp_sol/status/1997896479311344088"
"2025-12-08",5,0,2,0,7,true,"Gm https://t.co/FtHp8qlc8T","https://x.com/muse_jp_sol/status/1997910397589004413"
"2025-12-08",3,0,1,0,4,false,"And MEEEEE!!!

See u there! &lt;3 https://t.co/P4ZhwdyHrp","https://x.com/muse_jp_sol/status/1998042003423326284"
"2025-12-08",7,0,1,0,8,true,"It’s been a year since I dropped out of music conservatory.

From age 6 to 19, the trumpet was my obsession.🎺
 There wasn't a single period longer than 3 days where I didn't play. 
That discipline defined me.

It really makes you think. 
Now, here I am in Dubai, building in https://t.co/KuKZnnnXxo","https://x.com/muse_jp_sol/status/1998044189733347662"
"2025-12-08",0,0,0,0,0,false,"BELIEVE IN SOLANA https://t.co/CrXSKfgKVh","https://x.com/muse_jp_sol/status/1998050057770479624"
"2025-12-08",24,0,11,0,35,true,"Can you believe it? This is 5 dollars https://t.co/U4US20Z7rF","https://x.com/muse_jp_sol/status/1998060978064486453"
"2025-12-08",5,0,1,0,6,true,".@jito_sol No way,,,,!!!!!!! https://t.co/XYDLAKBoAC","https://x.com/muse_jp_sol/status/1998078545076355420"
"2025-12-08",12,1,4,0,17,false,"Bro I’m dead serious, why is this so funny to y’all?😂
My Japanese-ass serious brain can’t process this meme at all. https://t.co/P8gMspreQg","https://x.com/muse_jp_sol/status/1998111371343626685"
"2025-12-08",2,0,0,0,2,false,"I get it now lamo","https://x.com/muse_jp_sol/status/1998111753071456268"
"2025-12-08",4,0,0,0,4,true,"POV: The way I understand jokes in a second language and can't stop grinning https://t.co/DbHNlHOqTN","https://x.com/muse_jp_sol/status/1998112734265967103"
"2025-12-08",4,0,0,0,4,false,"Bullish https://t.co/AEFp2xTboT","https://x.com/muse_jp_sol/status/1998112790356341170"
"2025-12-09",10,0,1,0,11,true,"Gm
I going to Abū Dhabī from Dubai
See u soooooon https://t.co/DwNWukbJD4","https://x.com/muse_jp_sol/status/1998223783942066361"
"2025-12-09",4,0,0,0,4,false,"Let’s catch me!!!!! https://t.co/CZXZHbGv6x","https://x.com/muse_jp_sol/status/1998278920559538628"
